word,age_of_acquisition,frequency_per_million
holster,10.32,2.17647
huddle,9.4,2.17647
import,10.37,2.17647
irritating,8.53,2.17647
nag,9.21,2.17647
noose,8.28,2.17647
ongoing,8.39,2.17647
passive,8.89,2.17647
renew,10.06,2.17647
sinister,10.75,2.17647
skid,8.11,2.17647
smear,8.84,2.17647
snob,9.32,2.17647
undefeated,9,2.17647
ac,10.75,2.15686
cameraman,10.28,2.15686
conditioner,7.68,2.15686
criticize,9.71,2.15686
defective,10.11,2.15686
fearful,7.5,2.15686
interstate,9.68,2.15686
mantle,9.17,2.15686
nausea,8.63,2.15686
orchid,9.76,2.15686
radiant,9.68,2.15686
roster,8.78,2.15686
stylish,8.39,2.15686
tee,8.21,2.15686
troublemaker,8.22,2.15686
uncommon,8.95,2.15686
unseen,9.56,2.15686
upgrade,9.17,2.15686
ventilation,10.39,2.15686
accommodate,9.9,2.13725
applaud,7.1,2.13725
blur,8.95,2.13725
boredom,7.68,2.13725
catchy,8.74,2.13725
courtyard,9.95,2.13725
craving,9.55568,2.13725
depart,9.89,2.13725
dew,7.37,2.13725
disarm,10.11,2.13725
exhaust,9.19,2.13725
flier,8.94,2.13725
freighter,10.47,2.13725
incomplete,7.95,2.13725
intellect,10.68,2.13725
mayhem,10.37,2.13725
missionary,9.78,2.13725
rink,8.69,2.13725
salsa,9.78,2.13725
slay,9.39,2.13725
spree,10.39,2.13725
tombstone,7.95,2.13725
twitch,8.84,2.13725
uranium,10.63,2.13725
viewing,7.28,2.13725
array,10.79,2.11765
bodily,8.17,2.11765
brawl,9.2,2.11765
catalogue,7.84,2.11765
deli,8.84,2.11765
dense,10.2,2.11765
dictator,10.6,2.11765
docking,8.67,2.11765
editing,10.21,2.11765
flute,8.47,2.11765
founder,9.5,2.11765
hygiene,9,2.11765
ingenious,10.32,2.11765
mackerel,10.72,2.11765
mentality,10.32,2.11765
outnumbered,9.55568,2.11765
seemingly,9.78998,2.11765
snip,7.24,2.11765
stairwell,8.94,2.11765
striker,9.17,2.11765
admiration,8.95,2.09804
blacksmith,9.84,2.09804
blaze,7.47,2.09804
clarity,10.55,2.09804
contrast,9.85,2.09804
crazed,7.95,2.09804
crest,10.35,2.09804
decorator,10.25,2.09804
despicable,10.89,2.09804
detour,9.11,2.09804
doodle,8.14,2.09804
goggles,7.05,2.09804
intercom,8.79,2.09804
measles,9.28,2.09804
miraculous,9.3,2.09804
mischief,9.05,2.09804
paramedic,9.89,2.09804
powdered,7.11,2.09804
prevail,10.33,2.09804
printer,7.61,2.09804
projection,10,2.09804
prosperity,10.4,2.09804
stride,9.21,2.09804
surroundings,7.28,2.09804
unanimous,10.5,2.09804
weatherman,7.11,2.09804
bargaining,10.33,2.07843
boulder,7.91618,2.07843
calculate,9.26,2.07843
commotion,9.62,2.07843
communion,8.15,2.07843
crave,9.17,2.07843
detonate,10.06,2.07843
foolishness,8.95,2.07843
ghastly,10.33,2.07843
guiding,7.74,2.07843
gunman,8.94,2.07843
haste,9,2.07843
index,7.89,2.07843
landlady,9.18,2.07843
manure,10.1,2.07843
nasal,8.75,2.07843
petunia,8.86,2.07843
pioneer,7.56,2.07843
plaque,7.39,2.07843
quart,7.5,2.07843
safari,8.44,2.07843
trend,10.84,2.07843
uneasy,9.16,2.07843
unsolved,9.17,2.07843
wreckage,8.47,2.07843
authorize,9.84,2.05882
biggie,7.28,2.05882
circumstance,9.84,2.05882
colonial,8.76,2.05882
decay,8.79,2.05882
disrespectful,7.06,2.05882
extras,8.11932,2.05882
fruitcake,8.28,2.05882
initially,9.60662,2.05882
lowlife,10.17,2.05882
lunar,9.15,2.05882
manpower,9.11,2.05882
marital,10.35,2.05882
oats,7.4899,2.05882
parental,10.26,2.05882
peachy,7.63,2.05882
primarily,9.9326,2.05882
sleeper,7.33,2.05882
spoils,8.89,2.05882
superstition,10.35,2.05882
unavailable,9.55,2.05882
weave,9.89,2.05882
appoint,10.29,2.03922
bale,8.2,2.03922
brook,8.42,2.03922
budge,9.25,2.03922
charitable,10.5,2.03922
cooperative,8.56,2.03922
educate,7.84,2.03922
enchanting,9.21,2.03922
filmmaker,11,2.03922
fraction,10.06,2.03922
gruesome,8.6,2.03922
lavender,9.11,2.03922
organism,10.61,2.03922
outline,8.74,2.03922
plank,7.84,2.03922
pointy,7.39,2.03922
promptly,9.89185,2.03922
refrain,10.5,2.03922
unmarried,9,2.03922
aide,7.83,2.01961
chariot,9.11,2.01961
cosy,7.54319,2.01961
crock,9.89,2.01961
dishwasher,7.16,2.01961
distorted,10.32,2.01961
fiery,10.28,2.01961
frenzy,9.53,2.01961
graffiti,9.47,2.01961
instruction,7.47,2.01961
lantern,8.55,2.01961
meltdown,10.32,2.01961
outlook,10.65,2.01961
pelvis,9.95,2.01961
radiator,8.53,2.01961
refined,9.75,2.01961
repulsive,10.32,2.01961
voluntary,9.17,2.01961
candid,10.79,2
characteristics,9.9326,2
cot,7.53,2
cougar,8.11,2
dosage,8.05,2
exterminator,8.17,2
extraterrestrial,9.11,2
hick,8.94,2
intro,8.84,2
livestock,7.89,2
maturity,10.58,2
outlet,8.32,2
preoccupied,9.84,2
rugged,10.58,2
sincerity,8.67,2
smuggle,9.94,2
sparkling,7.56,2
straightforward,9.59,2
teamwork,7.8,2
tutoring,9.28,2
absorb,8.83,1.98039
billing,10.89,1.98039
disability,9.33,1.98039
gateway,8.38,1.98039
hypnosis,9.44,1.98039
impostor,10.37,1.98039
loco,10.4,1.98039
manicure,10.56,1.98039
mileage,10.22,1.98039
mythology,10.53,1.98039
oblivion,10.94,1.98039
participation,7.56,1.98039
roadblock,9.28,1.98039
steaming,9.72,1.98039
whatnot,9.61,1.98039
arctic,7.79,1.96078
barf,7.78,1.96078
darts,7.03165,1.96078
devote,9.58,1.96078
dome,8.44,1.96078
ducky,7.44,1.96078
fertilizer,7.67,1.96078
floss,7.06,1.96078
forgery,10.74,1.96078
hatchet,8.2,1.96078
hula,7.72435,1.96078
lest,10.4632,1.96078
margin,10.11,1.96078
modified,10.314,1.96078
obedient,8.53,1.96078
paralysis,10.39,1.96078
persuasion,10.9,1.96078
predicament,10.26,1.96078
stumble,7.94,1.96078
tanker,9.05,1.96078
topless,10.11,1.96078
unforgivable,9.58,1.96078
apprentice,10.58,1.94118
blizzard,7.94,1.94118
climax,10.79,1.94118
desirable,11,1.94118
enjoyable,8.44,1.94118
exaggerate,9.53,1.94118
eyesight,7.59,1.94118
hearty,9.94,1.94118
marvel,10,1.94118
multiply,7.95,1.94118
outbreak,10.5,1.94118
outrun,8.42,1.94118
painless,8.91,1.94118
pansy,8.32,1.94118
serpent,8,1.94118
sonic,11,1.94118
supplier,10.05,1.94118
syringe,10.63,1.94118
teens,7.84,1.94118
thud,8.06,1.94118
thump,7.63,1.94118
urn,9.89,1.94118
whit,10.67,1.94118
bedside,7.71,1.92157
billionaire,9.68,1.92157
confrontation,8.58,1.92157
dart,7.38,1.92157
deluxe,9.79,1.92157
descend,9.19,1.92157
digits,9.01577,1.92157
existing,8.65,1.92157
fang,8.47,1.92157
fashionable,9.67,1.92157
festive,8.42,1.92157
firepower,9.21,1.92157
laddie,10.5,1.92157
latch,8,1.92157
likeness,8.84,1.92157
mistletoe,9.65,1.92157
navigate,10.05,1.92157
oasis,9.11,1.92157
orchard,7.67,1.92157
pastry,7.21,1.92157
placement,9.32,1.92157
refugee,10.56,1.92157
revolting,9.74,1.92157
rotate,7.89,1.92157
shameful,7.89,1.92157
sow,9.67,1.92157
supervise,11,1.92157
uncover,7.17,1.92157
vaccine,8.16,1.92157
wham,7.43662,1.92157
brochure,9.58,1.90196
bulk,10.21,1.90196
compelling,9.06,1.90196
emery,10.86,1.90196
equality,10.27,1.90196
explorer,7.11,1.90196
flashy,7.74,1.90196
fundraiser,9.11,1.90196
knit,7.86,1.90196
leukemia,10.8189,1.90196
mart,10,1.90196
muck,8,1.90196
photographic,8.5,1.90196
pollution,8.56,1.90196
receptionist,9.95,1.90196
shag,10.53,1.90196
shameless,9.79,1.90196
slade,10.2891,1.90196
snag,9.75,1.90196
spouse,9.94,1.90196
statute,10.39,1.90196
unworthy,10.84,1.90196
accomplishment,9,1.88235
anthem,9.44,1.88235
aspen,10.0369,1.88235
assassinate,10.11,1.88235
basin,10,1.88235
companionship,10.83,1.88235
complimentary,10.33,1.88235
conquest,9.33,1.88235
creativity,8.32,1.88235
etiquette,9.5,1.88235
exploration,8.26,1.88235
forecast,9.05,1.88235
frontal,10.89,1.88235
interruption,7.95,1.88235
listing,8.58,1.88235
moan,7.72,1.88235
plow,7.11,1.88235
postal,8.17,1.88235
puncture,8.89,1.88235
relish,7.83,1.88235
scrabble,9.32,1.88235
stance,10,1.88235
stun,9.56,1.88235
stutter,8.78,1.88235
symptom,8.68,1.88235
wrinkle,7.21,1.88235
armory,11,1.86275
biz,9.93,1.86275
bonny,10.14,1.86275
cello,9.89,1.86275
chemist,8.94,1.86275
confederate,10.1,1.86275
deceit,10.95,1.86275
dissolve,9.2,1.86275
dominate,8.89,1.86275
drinker,8.53,1.86275
exile,11,1.86275
fuzz,7.11,1.86275
gibberish,8.79,1.86275
grizzly,7.75,1.86275
heath,10.4845,1.86275
indigestion,10.11,1.86275
jigsaw,7.63,1.86275
lobe,10.17,1.86275
migraine,10,1.86275
prejudiced,10.3,1.86275
recreation,8.83,1.86275
reservoir,10.11,1.86275
rigid,9.16,1.86275
speck,8.48,1.86275
tribal,8.63,1.86275
unspeakable,10.44,1.86275
amends,10.16,1.84314
bane,9.6,1.84314
boardwalk,8.94,1.84314
brow,9.82,1.84314
camouflage,7.53,1.84314
clueless,7.71,1.84314
dib,10.62,1.84314
disconnect,7.89,1.84314
disposable,10.11,1.84314
foe,9.95,1.84314
foolproof,9.71,1.84314
hazardous,8,1.84314
hectic,9.95,1.84314
hesitation,9.6,1.84314
pottery,7.83,1.84314
pretender,8.5,1.84314
ravine,10.61,1.84314
revive,10.47,1.84314
slab,8.53,1.84314
slop,7.95,1.84314
sod,10.82,1.84314
strand,8.39,1.84314
surge,9.82,1.84314
torso,9.33,1.84314
trustworthy,8.05,1.84314
acre,9.8,1.82353
burner,8,1.82353
buttocks,7.72,1.82353
buzzard,9.83,1.82353
capricorn,10.8087,1.82353
chopsticks,7.85445,1.82353
chord,9.71,1.82353
crick,8.61954,1.82353
disgraceful,9.1,1.82353
faraway,7.44,1.82353
handyman,7.78,1.82353
heartbroken,9,1.82353
humane,9.37,1.82353
imprisonment,10.06,1.82353
murderous,9.89,1.82353
overweight,8.56,1.82353
pulp,9.63,1.82353
putty,7.72,1.82353
raffle,9.22,1.82353
reasoning,10.14,1.82353
selfless,9.28,1.82353
walkout,11,1.82353
wilt,7.76,1.82353
barbarian,9.76,1.80392
bearer,8.67,1.80392
brewery,10.72,1.80392
cosmetic,10.83,1.80392
dreary,8.42,1.80392
emptiness,9.44,1.80392
flunk,8.16,1.80392
groin,9.22,1.80392
iceberg,8.21,1.80392
imitate,9.2,1.80392
incense,10.45,1.80392
keyboard,9.32,1.80392
logo,8.16,1.80392
moist,9.55,1.80392
pecker,9,1.80392
pinpoint,9.68,1.80392
racetrack,9,1.80392
suede,10.5,1.80392
transparent,10.67,1.80392
trot,7.3,1.80392
unattractive,8.21,1.80392
bitty,7.44,1.78431
cheddar,7.13822,1.78431
commend,10.81,1.78431
congrats,8.26,1.78431
ethnic,10.89,1.78431
giddy,9.74,1.78431
hag,10,1.78431
hobo,8.22,1.78431
interpreter,11,1.78431
leary,10.8042,1.78431
lovable,7.68,1.78431
manufacturer,10.79,1.78431
overload,9.5,1.78431
particle,10.28,1.78431
residential,9.72,1.78431
spiral,8.89,1.78431
wrestler,7.48,1.78431
abyss,11,1.76471
calcium,9.89,1.76471
charcoal,8,1.76471
checkmate,9,1.76471
delete,7.78,1.76471
dill,8.20392,1.76471
disgusted,7.8,1.76471
fascination,8.63,1.76471
intrigued,10.9321,1.76471
modesty,10.89,1.76471
nightcap,10.17,1.76471
obsessive,10.89,1.76471
outgoing,8.11,1.76471
publication,10.89,1.76471
rapper,10.74,1.76471
redneck,8.61,1.76471
rethink,8.95,1.76471
scamp,10.43,1.76471
screwy,10.95,1.76471
sedan,8,1.76471
sequel,10.22,1.76471
stability,10.89,1.76471
vulture,8.89,1.76471
winnings,7.11,1.76471
badger,8.74,1.7451
bonfire,8.8,1.7451
bossy,7.06,1.7451
crossword,7.21,1.7451
devious,9.79,1.7451
dictate,10.26,1.7451
eerie,9.37,1.7451
fantasize,9.58,1.7451
fitness,8.74,1.7451
fluke,10.1,1.7451
founding,10.42,1.7451
harmonica,7.32,1.7451
leech,7.84,1.7451
liter,9.86,1.7451
nudity,9.18,1.7451
pantry,8.17,1.7451
pelican,8.22,1.7451
rewind,7.79,1.7451
righteousness,9.94,1.7451
rubble,9.59,1.7451
sinus,10.05,1.7451
speechless,8.68,1.7451
thrive,9.35,1.7451
wad,8.78,1.7451
whirl,7.37,1.7451
bidder,9.32,1.72549
bio,9.75,1.72549
blindfold,8.11,1.72549
bloodstream,9.05,1.72549
bugle,8.88,1.72549
deadbeat,10.4,1.72549
disciplined,8.22,1.72549
emerge,9.76,1.72549
evaluate,9.11,1.72549
faker,7.28,1.72549
friar,9.22,1.72549
gasp,8.05,1.72549
hale,10.9001,1.72549
icon,10.11,1.72549
invalid,10.5,1.72549
meek,9.7,1.72549
mutation,10.83,1.72549
petrified,9.05,1.72549
posture,8.89,1.72549
prehistoric,8.05,1.72549
premium,9.95,1.72549
racism,9.56,1.72549
rearrange,8.11,1.72549
understatement,10.45,1.72549
upcoming,9.25,1.72549
visualize,9.88,1.72549
wench,10.72,1.72549
astonishing,9.11,1.70588
baboon,9.11,1.70588
battleship,7.58,1.70588
bowels,9.78,1.70588
canteen,9.03516,1.70588
decipher,10.84,1.70588
deduction,10.89,1.70588
demise,10.67,1.70588
espionage,10.6,1.70588
feller,8.5,1.70588
gill,7.39399,1.70588
jig,8.7,1.70588
locket,8.35,1.70588
lowly,10.56,1.70588
mindless,9.89,1.70588
momentum,10.17,1.70588
navigation,10.2,1.70588
nicotine,10.22,1.70588
obedience,8.53,1.70588
resemble,10.05,1.70588
scarce,10.53,1.70588
shabby,10.56,1.70588
simmer,9.65,1.70588
sinful,8.79,1.70588
squawk,9.26,1.70588
unstoppable,8.53,1.70588
allergy,8.11,1.68627
ancestor,8.61,1.68627
asteroid,8.6,1.68627
bloated,10.72,1.68627
bruising,9.44,1.68627
buckaroo,9.06,1.68627
busboy,10.21,1.68627
canine,8.45,1.68627
canopy,9.82,1.68627
compact,10.79,1.68627
enforce,9.11,1.68627
entity,9.5,1.68627
esteem,10.55,1.68627
feeble,9.39,1.68627
hark,10.47,1.68627
infinity,8.83,1.68627
informal,10.32,1.68627
inquire,10.4,1.68627
jive,10.33,1.68627
lard,9.74,1.68627
louse,10.26,1.68627
manufacturing,9.16,1.68627
neglect,9.84,1.68627
pianist,7.94,1.68627
plumb,9.81313,1.68627
proceeds,10.37,1.68627
puffy,7.42,1.68627
rejoice,8.61,1.68627
relive,10.05,1.68627
roasted,7.11,1.68627
saxophone,9.1,1.68627
seaman,9.45,1.68627
stalk,8.22,1.68627
sturdy,7.5,1.68627
tempo,9.67,1.68627
tracer,10.12,1.68627
vinegar,7.11,1.68627
wrinkled,7.26,1.68627
administer,9.42,1.66667
afloat,9.33,1.66667
bathrobe,7.9,1.66667
bearings,10.15,1.66667
casserole,7.32,1.66667
dependable,8.78,1.66667
detection,10.33,1.66667
disastrous,9,1.66667
ditto,9.3,1.66667
endanger,9.37,1.66667
exhale,8.42,1.66667
fringe,9.61,1.66667
gunpowder,9.74,1.66667
instruct,9,1.66667
lash,9.47,1.66667
lotto,11,1.66667
misguided,9.39,1.66667
overrun,9.42,1.66667
perky,9.05,1.66667
pimple,9.57,1.66667
rewarding,8.11,1.66667
ringer,8.8,1.66667
summary,8,1.66667
territorial,10.11,1.66667
thieving,9.28028,1.66667
unleash,8.37,1.66667
unreliable,8.89,1.66667
advertise,9.63,1.64706
burrito,9.37,1.64706
directory,9.57,1.64706
entertainer,7.85,1.64706
eskimo,7.11691,1.64706
healer,9.61,1.64706
malt,9.18,1.64706
mango,8.22,1.64706
mascot,9.5,1.64706
meditation,10.47,1.64706
patriotism,9,1.64706
rephrase,9.25,1.64706
sayonara,9.56,1.64706
texture,9.35,1.64706
trapper,9.11,1.64706
turnout,10.95,1.64706
abusive,9.58,1.62745
accord,9.65,1.62745
banjo,8.44,1.62745
bonanza,9.79,1.62745
commandment,7.58,1.62745
consecutive,10,1.62745
doubtful,8.33,1.62745
evolve,10.63,1.62745
faulty,9.63,1.62745
ferret,8.47,1.62745
folder,8.21,1.62745
gel,7.21,1.62745
gizmo,9.11,1.62745
hymn,7.5,1.62745
hype,11,1.62745
inconvenient,9.58,1.62745
makeover,10.53,1.62745
marketplace,8.89,1.62745
mast,10.59,1.62745
ointment,7.9,1.62745
planner,9.05,1.62745
redeem,9.28,1.62745
resource,10,1.62745
storeroom,8.11,1.62745
stork,7.64976,1.62745
surfer,7.58,1.62745
tracker,9.61,1.62745
warped,9.4,1.62745
withstand,10.05,1.62745
wondrous,11,1.62745
wretch,10.25,1.62745
amaze,7.5,1.60784
bias,10.71,1.60784
chilling,8.65,1.60784
chowder,8,1.60784
clubhouse,7.44,1.60784
coil,9.67,1.60784
creamed,10.4,1.60784
deodorant,8.83,1.60784
disciplinary,9,1.60784
exhaustion,7.61,1.60784
glare,9.33,1.60784
honky,10,1.60784
investigative,10.68,1.60784
northwestern,8.58,1.60784
overdo,9.17,1.60784
plaid,8.56,1.60784
pong,8.68,1.60784
quake,8.15,1.60784
socket,8.06,1.60784
strengthen,9.7,1.60784
swipe,9.63,1.60784
swish,9.89,1.60784
takeout,8.27,1.60784
timetable,10.58,1.60784
transporter,10.72,1.60784
wallow,9.26,1.60784
whoopee,7.75633,1.60784
afterlife,8.11,1.58824
agreeable,8.41,1.58824
blooming,7.17,1.58824
borderline,10.24,1.58824
circular,7.68,1.58824
component,10.78,1.58824
diplomacy,10.89,1.58824
discomfort,9.53,1.58824
duration,10.32,1.58824
encyclopedia,7.17,1.58824
famine,10,1.58824
frail,9.64,1.58824
grits,8.95,1.58824
hearse,9.89,1.58824
heathen,9.67,1.58824
husky,10.21,1.58824
inability,10.67,1.58824
lagoon,9.42,1.58824
latitude,10.47,1.58824
maggot,9.5,1.58824
mangy,8.78,1.58824
mathematical,8.22,1.58824
minivan,7.5,1.58824
muzzle,8.44,1.58824
pang,10.5,1.58824
pillar,8.26,1.58824
redo,7.94,1.58824
reopen,8.78,1.58824
shaker,8.33,1.58824
stamina,10.94,1.58824
starlight,7.37,1.58824
thaw,8.11,1.58824
vail,10.33,1.58824
visitation,10.47,1.58824
wholesome,9.53,1.58824
wont,7.65,1.58824
bamboo,9.28,1.56863
bayonet,11,1.56863
chronicle,9.45,1.56863
clarinet,9.22,1.56863
compose,9.16,1.56863
cylinder,9.63,1.56863
dreamy,8.75,1.56863
earnest,10.22,1.56863
fertile,9.32,1.56863
flawless,9.33,1.56863
headphones,7.74,1.56863
horrifying,7.58,1.56863
jiffy,9.33,1.56863
misty,8.39,1.56863
patronize,11,1.56863
porcelain,9.12,1.56863
quartet,9,1.56863
ragged,8.5,1.56863
recollection,10.61,1.56863
recycling,10.53,1.56863
relaxation,9.56,1.56863
scrawny,9.11,1.56863
sever,9.05,1.56863
strut,9,1.56863
takeover,10.16,1.56863
trader,8.79,1.56863
vibration,9.56,1.56863
aerobics,11,1.54902
biker,7.26,1.54902
birch,10.8362,1.54902
completion,8.56,1.54902
costly,9.21,1.54902
disable,9.05,1.54902
distinctive,10.39,1.54902
distraught,11,1.54902
eggnog,7.45,1.54902
ferocious,9.74,1.54902
fossil,7.5,1.54902
frisk,10.16,1.54902
girdle,10.22,1.54902
golfing,7.68,1.54902
hedge,8.9,1.54902
highlight,7.61,1.54902
hijack,10.76,1.54902
hitter,7.39,1.54902
hotline,10.75,1.54902
immigrant,9.78,1.54902
kraut,9.27,1.54902
luau,10.44,1.54902
mirage,10.89,1.54902
muscular,8.79,1.54902
pleasing,7.28,1.54902
python,7.89,1.54902
relentless,9.89,1.54902
reproduce,9.89,1.54902
revolt,10.67,1.54902
sighting,9.79,1.54902
spat,8.80071,1.54902
symbolic,10.37,1.54902
sympathize,9.42,1.54902
tactic,11,1.54902
troublesome,8.06,1.54902
tumble,7.89,1.54902
twister,7.53,1.54902
unexplained,8.11,1.54902
unfit,10.62,1.54902
user,9.57,1.54902
youthful,8.79,1.54902
arithmetic,7.16,1.52941
artwork,7.32,1.52941
beanie,10.72,1.52941
blockade,10.55,1.52941
childbirth,9.25,1.52941
classmate,7.15,1.52941
disagreement,8.48,1.52941
extinguisher,7.35,1.52941
generic,11,1.52941
goner,9.35,1.52941
gymnastics,7.74,1.52941
instrumental,8.94,1.52941
optimist,10.89,1.52941
peer,10.21,1.52941
pelvic,10.89,1.52941
pharmacist,8.79,1.52941
quarry,10.56,1.52941
renewed,8.7048,1.52941
restrain,9.06,1.52941
rut,9.17,1.52941
scuba,7.6,1.52941
sesame,7.41,1.52941
setback,10.4,1.52941
shiver,7.5,1.52941
shoplifting,8.83,1.52941
sitcom,10.05,1.52941
soar,9.58,1.52941
undertaker,10.32,1.52941
unfamiliar,9,1.52941
unprepared,8,1.52941
viewer,9.17,1.52941
apparatus,10.9,1.5098
challenger,8.37,1.5098
cockeyed,10,1.5098
cram,10.32,1.5098
duo,7.94,1.5098
edit,9.57,1.5098
gland,10.61,1.5098
graphics,9.47,1.5098
hardship,10.33,1.5098
honorary,10.18,1.5098
horizontal,8.15,1.5098
intrigue,10.68,1.5098
jailer,10.2,1.5098
judgmental,10.68,1.5098
lifelong,8.8,1.5098
mound,7.71,1.5098
nibble,7.37,1.5098
pistachio,8.74,1.5098
remainder,8,1.5098
ripple,8.47,1.5098
sob,9,1.5098
suffocate,10.37,1.5098
tic,8.06,1.5098
timid,9.85,1.5098
twerp,8,1.5098
unharmed,9.21,1.5098
unprofessional,10.83,1.5098
worldly,10.61,1.5098
accuracy,9.71,1.4902
ammonia,11,1.4902
astray,10.3033,1.4902
blowout,9.42,1.4902
distribute,10.32,1.4902
duffel,10.11,1.4902
earthly,9.38,1.4902
electrician,8.75,1.4902
extinction,8.89,1.4902
firearm,9.94,1.4902
fireball,8.58,1.4902
hemisphere,9.85,1.4902
joyful,7.05,1.4902
livelihood,10.89,1.4902
mayflower,7.74,1.4902
occupational,10.33,1.4902
pickled,9.3,1.4902
pocketbook,9.35,1.4902
soften,7.37,1.4902
tartar,9.94,1.4902
unheard,8.47,1.4902
vat,9.84,1.4902
biography,9.47,1.47059
blasphemy,10.72,1.47059
blinding,7.21,1.47059
brilliance,10.5,1.47059
complicate,9.32,1.47059
contradiction,10.63,1.47059
enable,10.42,1.47059
goober,8.42,1.47059
humorous,8.56,1.47059
intentional,8.74,1.47059
lag,9.39,1.47059
midtown,9.78,1.47059
playback,8.5,1.47059
plump,8.21,1.47059
pox,8.61,1.47059
prune,7.85,1.47059
quicksand,9.6,1.47059
reproduction,10.63,1.47059
ruckus,9.26,1.47059
seer,10.56,1.47059
shutdown,8.74,1.47059
sightseeing,11,1.47059
skeptical,10.74,1.47059
smallpox,10.71,1.47059
starvation,8.53,1.47059
stricken,10.65,1.47059
trademark,10.37,1.47059
typhoon,9.78,1.47059
unclear,8.21,1.47059
caravan,9.28,1.45098
cleanse,8.11,1.45098
construct,8.72,1.45098
extracurricular,10.33,1.45098
extravagant,9.68,1.45098
folly,10.67,1.45098
gloss,9.9,1.45098
heartache,9.72,1.45098
heroine,10.68,1.45098
imagery,10.28,1.45098
indestructible,10.16,1.45098
irritable,8.67,1.45098
layaway,9.44,1.45098
linger,10.56,1.45098
marksman,10.83,1.45098
miner,8.05,1.45098
mystic,10.62,1.45098
overcoat,8.95,1.45098
perceive,10.42,1.45098
prescribe,9.2,1.45098
provider,9.63,1.45098
puny,8,1.45098
reins,8.59,1.45098
resourceful,10.65,1.45098
rite,10.42,1.45098
rundown,7.78,1.45098
shutter,7.83,1.45098
sloth,8.37,1.45098
tiresome,8.42,1.45098
aviation,10.32,1.43137
canister,8.83,1.43137
chink,10.47,1.43137
density,10.79,1.43137
detest,10.47,1.43137
dismount,9.79,1.43137
elm,9.06,1.43137
famished,9.67,1.43137
gauze,9.32,1.43137
gazette,10.43,1.43137
goalie,7.79,1.43137
gravel,7.19,1.43137
helium,9.86,1.43137
inconsiderate,9.72,1.43137
interact,9.58,1.43137
newspaperman,7.5,1.43137
overreact,9.89,1.43137
preview,7.42,1.43137
quitter,7.16,1.43137
rematch,9.05,1.43137
requirement,8.44,1.43137
spur,9.35,1.43137
trespass,9.16,1.43137
urgency,9.81,1.43137
yap,7.83,1.43137
believable,8.5,1.41176
bitterness,9.74,1.41176
bronco,9,1.41176
chandelier,8.63,1.41176
char,9.34422,1.41176
colossal,9,1.41176
crescent,7.84,1.41176
dopey,8.82,1.41176
eject,8.05,1.41176
elect,7.28,1.41176
gopher,7.21,1.41176
gunfighter,7.18,1.41176
heartfelt,9.79,1.41176
installation,10.21,1.41176
llama,8.61,1.41176
loon,9.12,1.41176
nameless,10.06,1.41176
perk,9.63,1.41176
playwright,10.44,1.41176
regroup,9.63,1.41176
rosebud,8.11866,1.41176
rump,8.95,1.41176
shatter,9.33,1.41176
trolley,8.47,1.41176
trough,8.41,1.41176
widower,9.42,1.41176
apostle,9.5,1.39216
ave,10.27,1.39216
brittle,9.78,1.39216
cabbie,9.38,1.39216
chunky,7.42,1.39216
complication,9.5,1.39216
corned,10.79,1.39216
delicacy,10.47,1.39216
delinquent,11,1.39216
feisty,9.17,1.39216
fictional,8,1.39216
frigid,9.84,1.39216
garment,8.32,1.39216
hammock,7.11,1.39216
hue,10.12,1.39216
ivory,9.39,1.39216
lifeboat,7.72,1.39216
merge,10.68,1.39216
nifty,9.12,1.39216
ogre,8.33,1.39216
output,10.72,1.39216
parcel,10.67,1.39216
pedestrian,9.75,1.39216
ranking,9.28,1.39216
reclaim,10.61,1.39216
reload,8.95,1.39216
rung,8.26786,1.39216
slang,10.68,1.39216
tetanus,11,1.39216
thoughtless,9.56,1.39216
uninvited,9,1.39216
unkind,7.21,1.39216
wildcat,7.44,1.39216
yak,7.78,1.39216
berserk,10.89,1.37255
blurry,7.28,1.37255
brighten,7.06,1.37255
bubbly,8.17,1.37255
capability,9.4,1.37255
ceremonial,10.89,1.37255
competitor,9.06,1.37255
crypt,10.68,1.37255
curriculum,10.35,1.37255
daybreak,8.1,1.37255
drought,7.94,1.37255
edible,8.68,1.37255
expel,9.59,1.37255
fencing,10.94,1.37255
flannel,9.44,1.37255
flattery,9.61,1.37255
horrific,9.8,1.37255
imaginative,8.74,1.37255
intimidating,10.47,1.37255
jolt,9.44,1.37255
majestic,10.72,1.37255
millimeter,9.37,1.37255
nightly,8,1.37255
peninsula,9,1.37255
periscope,10.16,1.37255
putter,9.33,1.37255
puzzled,7.5,1.37255
rabid,9.22,1.37255
scarcely,10.3779,1.37255
seasick,8.89,1.37255
shawl,9.74,1.37255
startling,10.33,1.37255
stationery,8.42,1.37255
stimulate,9.95,1.37255
stimulation,8.63,1.37255
thumper,7.17,1.37255
tram,10.53,1.37255
triumphant,8.89,1.37255
unmarked,8,1.37255
accelerator,10.27,1.35294
alto,10.1861,1.35294
aroma,9.47,1.35294
ballot,8.83,1.35294
banish,9.89,1.35294
basil,10.1328,1.35294
beige,7.74,1.35294
billboard,7.72,1.35294
boundary,8.35,1.35294
bribery,10.65,1.35294
carefree,9.89,1.35294
caress,10.89,1.35294
coarse,9.11,1.35294
concession,9.33,1.35294
contradict,10.89,1.35294
crease,7.79,1.35294
disorderly,9.63,1.35294
dispense,9.5,1.35294
